% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ------------------
 39.12    0.029143       14571         2           execve
 15.68    0.011678           7      1564           read
 13.38    0.009968           3      2978       453 statx
  6.07    0.004518           3      1166       220 openat
  4.95    0.003687          18       201           mmap
  4.49    0.003346          25       130           clone3
  2.97    0.002214           2       952           close
  2.88    0.002147           4       467           futex
  2.37    0.001767        1767         1           wait4
  1.52    0.001129           8       129           madvise
  1.38    0.001029           3       266           rt_sigprocmask
  1.05    0.000784           2       273           brk
  0.90    0.000673           5       134           getdents64
  0.74    0.000554          55        10           munmap
  0.51    0.000380           2       130           getcwd
  0.41    0.000308           2       116           write
  0.25    0.000188           2        78        78 mkdir
  0.25    0.000187           2        91           fstat
  0.23    0.000175           9        18           mprotect
  0.17    0.000123           1        94           pread64
  0.13    0.000100           8        12           lseek
  0.10    0.000075           4        18        16 readlink
  0.04    0.000031           2        14           rt_sigaction
  0.04    0.000031           1        29           fcntl
  0.03    0.000025           1        20           flock
  0.03    0.000022           4         5           uname
  0.02    0.000017           0        27         8 stat
  0.02    0.000017           1        11           statfs
  0.02    0.000017           2         6         4 newfstatat
  0.02    0.000015           2         7         7 ioctl
  0.02    0.000015           3         4           sched_getaffinity
  0.02    0.000015           3         5           getrandom
  0.02    0.000014           2         5           sigaltstack
  0.02    0.000012           3         4           prlimit64
  0.01    0.000009           0        16         4 access
  0.01    0.000009           3         3           getuid
  0.01    0.000009           3         3           geteuid
  0.01    0.000009           9         1           readlinkat
  0.01    0.000008           4         2           poll
  0.01    0.000007           3         2           arch_prctl
  0.01    0.000007           3         2           rseq
  0.01    0.000006           3         2           set_tid_address
  0.01    0.000006           3         2           set_robust_list
  0.01    0.000005           5         1           epoll_create1
  0.01    0.000004           4         1           epoll_ctl
  0.01    0.000004           4         1           eventfd2
  0.00    0.000003           3         1           gettid
  0.00    0.000000           0         4           lstat
  0.00    0.000000           0        14           getpid
  0.00    0.000000           0         2           socketpair
  0.00    0.000000           0         1           pipe2
------ ----------- ----------- --------- --------- ------------------
100.00    0.074490           8      9025       790 total
