% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ------------------
 14.07    0.000155           9        16         2 openat
 13.61    0.000150           7        20           mmap
 13.07    0.000144           6        24           read
  9.62    0.000106           5        19         5 statx
  9.44    0.000104          52         2         1 futex
  5.90    0.000065           4        14           close
  5.63    0.000062           6        10           lseek
  5.17    0.000057           5        10           write
  4.45    0.000049          49         1           clone3
  3.63    0.000040           6         6           mprotect
  2.54    0.000028          14         2           munmap
  1.81    0.000020           4         5           rt_sigprocmask
  1.72    0.000019           3         5           fstat
  1.63    0.000018           3         6           rt_sigaction
  1.18    0.000013           4         3           sched_getaffinity
  1.00    0.000011          11         1           madvise
  1.00    0.000011           3         3           sigaltstack
  0.82    0.000009           3         3           brk
  0.64    0.000007           3         2           prlimit64
  0.54    0.000006           3         2           pread64
  0.54    0.000006           3         2           getrandom
  0.36    0.000004           4         1           poll
  0.27    0.000003           3         1         1 ioctl
  0.27    0.000003           3         1           arch_prctl
  0.27    0.000003           3         1           gettid
  0.27    0.000003           3         1           set_tid_address
  0.27    0.000003           3         1           set_robust_list
  0.27    0.000003           3         1           rseq
  0.00    0.000000           0         1         1 access
  0.00    0.000000           0         1           execve
------ ----------- ----------- --------- --------- ------------------
100.00    0.001102           6       165        10 total
