% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ------------------
 53.01    0.001014        1013         1           futex
  9.04    0.000173           8        20           mmap
  6.74    0.000129           5        24           read
  6.69    0.000128           8        16         2 openat
  4.65    0.000089           4        19         5 statx
  3.29    0.000063           4        14           close
  2.93    0.000056           5        10           lseek
  2.30    0.000044           7         6           mprotect
  1.83    0.000035          35         1           clone3
  1.25    0.000024          24         1         1 access
  1.10    0.000021           4         5           fstat
  0.94    0.000018           3         6           rt_sigaction
  0.94    0.000018           3         5           rt_sigprocmask
  0.73    0.000014           7         2           munmap
  0.52    0.000010           3         3           brk
  0.52    0.000010           3         3           sched_getaffinity
  0.47    0.000009           0        10           write
  0.37    0.000007           3         2           pread64
  0.37    0.000007           7         1           madvise
  0.37    0.000007           2         3           sigaltstack
  0.37    0.000007           3         2           prlimit64
  0.37    0.000007           3         2           getrandom
  0.26    0.000005           5         1           poll
  0.16    0.000003           3         1         1 ioctl
  0.16    0.000003           3         1           arch_prctl
  0.16    0.000003           3         1           gettid
  0.16    0.000003           3         1           set_tid_address
  0.16    0.000003           3         1           set_robust_list
  0.16    0.000003           3         1           rseq
  0.00    0.000000           0         1           execve
------ ----------- ----------- --------- --------- ------------------
100.00    0.001913          11       164         9 total
