% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ------------------
 53.94    0.094141        3362        28         6 wait4
 11.42    0.019926          71       280         1 read
  9.36    0.016334         347        47           write
  8.75    0.015276           3      3950           pread64
  2.67    0.004651         244        19         3 execve
  2.49    0.004337           8       493           mmap
  2.44    0.004265          10       408       101 openat
  0.89    0.001561           4       354           close
  0.89    0.001558         111        14           clone
  0.72    0.001263          11       114           mprotect
  0.64    0.001119           6       160       117 readlink
  0.64    0.001115           3       325           fstat
  0.62    0.001085           5       196        81 statx
  0.46    0.000811           2       348        84 newfstatat
  0.44    0.000761           3       220           rt_sigprocmask
  0.41    0.000714          12        56           getdents64
  0.30    0.000528           4       111         3 lseek
  0.27    0.000476           1       262           rt_sigaction
  0.21    0.000367           5        64           brk
  0.20    0.000357         357         1           mount
  0.18    0.000316          28        11           futex
  0.17    0.000299          99         3         2 umount2
  0.17    0.000295          10        29           munmap
  0.14    0.000245           4        53        28 access
  0.13    0.000234           9        24        24 statfs
  0.11    0.000184           2        72        72 ioctl
  0.10    0.000172           4        36           getuid
  0.08    0.000147           5        26           getrandom
  0.08    0.000145           5        26           sigaltstack
  0.08    0.000135           5        26           prlimit64
  0.07    0.000122           3        36           getcwd
  0.07    0.000121           2        54         1 fcntl
  0.05    0.000093           2        32           geteuid
  0.05    0.000092           3        30           getgid
  0.05    0.000091           5        16           arch_prctl
  0.05    0.000083           2        29           getegid
  0.05    0.000080           6        12        10 mkdir
  0.04    0.000074          74         1           clone3
  0.04    0.000073           4        17           rseq
  0.04    0.000069           2        31           set_robust_list
  0.04    0.000065           4        16           set_tid_address
  0.04    0.000064           6        10           dup
  0.04    0.000062           1        33           dup2
  0.04    0.000062           6        10           sched_getaffinity
  0.03    0.000060           6         9           poll
  0.03    0.000059          59         1           clock_nanosleep
  0.03    0.000054           3        14           rt_sigreturn
  0.03    0.000047          15         3           writev
  0.02    0.000041          10         4         4 connect
  0.02    0.000039           6         6           flock
  0.02    0.000033          11         3           prctl
  0.02    0.000033          11         3           gettid
  0.02    0.000030           7         4           socket
  0.01    0.000024          12         2           madvise
  0.01    0.000023           2         9           umask
  0.01    0.000015          15         1           open
  0.01    0.000014           7         2           chdir
  0.01    0.000013           4         3           pipe2
  0.01    0.000012          12         1           unlink
  0.01    0.000011           2         4           llistxattr
  0.01    0.000010           0        17           getpid
  0.01    0.000009           4         2           chmod
  0.00    0.000008           2         3           getppid
  0.00    0.000007           7         1           faccessat2
  0.00    0.000003           3         1           uname
  0.00    0.000003           3         1           getpgrp
------ ----------- ----------- --------- --------- ------------------
100.00    0.174516          21      8177       537 total
