% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ------------------
 58.45    0.011011           5      2051           pread64
 37.52    0.007068         543        13           read
  1.80    0.000339          33        10           openat
  0.36    0.000068          22         3           munmap
  0.28    0.000053          26         2           lseek
  0.26    0.000049           4        10           close
  0.21    0.000040           8         5           statx
  0.20    0.000037           1        20           mmap
  0.16    0.000031           6         5           brk
  0.16    0.000030           6         5           rt_sigaction
  0.09    0.000017           5         3           sigaltstack
  0.08    0.000016           8         2           prlimit64
  0.08    0.000015           7         2           rt_sigprocmask
  0.08    0.000015           7         2           getrandom
  0.06    0.000012           2         6           mprotect
  0.05    0.000010           5         2           write
  0.04    0.000008           1         5           fstat
  0.03    0.000006           6         1           poll
  0.03    0.000006           6         1           gettid
  0.03    0.000006           6         1           sched_getaffinity
  0.00    0.000000           0         1         1 access
  0.00    0.000000           0         1           execve
  0.00    0.000000           0         1           arch_prctl
  0.00    0.000000           0         1           set_tid_address
  0.00    0.000000           0         1           set_robust_list
  0.00    0.000000           0         1           rseq
------ ----------- ----------- --------- --------- ------------------
100.00    0.018837           8      2155         1 total
